source,translated,context
Add Appliance,Gerät hinzufügen,
Add Contractor,Handwerker hinzufügen,
Add Property,Immobilie hinzufügen,
Add Room,Raum hinzufügen,
Appliance marked as Disposed. Consider updating warranty and maintenance records.,Gerät als entsorgt markiert. Bitte Garantie- und Wartungsdaten prüfen.,
Appliance Name,Gerätename,
Archived,Archiviert,
Area (m²),Fläche (m²),
Available,Verfügbar,
Brand,Marke,
Building Manager Phone,Telefon Hausverwaltung,
Business hours,Geschäftszeiten,
Category,Kategorie,
City,Stadt,
Claim Date,Datum der Reklamation,
Completed,Abgeschlossen,
Completed Date,Abschlussdatum,
Condition,Zustand,
Consider setting {0} status to Disposed,Erwägen Sie den Status von {0} auf Entsorgt zu setzen,
Contact Name,Kontaktname,
Contractor Name,Name des Handwerkers,
Cost,Kosten,
Country,Land,
Cover Image,Titelbild,
Date of Birth,Geburtsdatum,
Days Offset,Tage-Versatz,
Description,Beschreibung,
Display Name,Anzeigename,
Disposed,Entsorgt,
Email,E-Mail,
Emergency Contacts,Notfallkontakte,
Emergency Info,Notfallinformationen,
Emergency Notes,Notfallnotizen,
End Date,Enddatum,
Equity %,Eigenkapital %,
Equity Amount,Eigenkapitalbetrag,
Equity History,Eigenkapitalverlauf,
Equity Snapshots,Eigenkapital-Snapshots,
Estimated Value,Geschätzter Wert,
Estimated Value Date,Datum des geschätzten Werts,
Evacuation Notes,Evakuierungshinweise,
Expected Lifespan (Years),Erwartete Lebensdauer (Jahre),
Financial Visibility,Finanzsichtbarkeit,
Frame Token,Frame-Token,
Household,Haushalt,
Household Name,Haushaltsname,
A household must have at least one Owner member,Ein Haushalt muss mindestens ein Eigentümer-Mitglied haben,
Each user can only appear once in the household,Jeder Benutzer darf nur einmal im Haushalt erscheinen,
Insured,Versichert,
Integrations,Integrationen,
Item Description,Artikelbeschreibung,
Item Name,Artikelname,
Label Photo,Typenschildfoto,
Lifespan (Years),Lebensdauer (Jahre),
Linked Appliance,Verknüpftes Gerät,
Linked Inventory Item,Verknüpfter Inventargegenstand,
Maintenance due soon,Wartung bald fällig,
Maintenance Due,Wartung fällig,
Maintenance Reminder (Days),Wartungserinnerung (Tage),
Maintenance Type,Wartungstyp,
Manual,Handbuch,
Members,Mitglieder,
Model,Modell,
Moving Checklist,Umzugs-Checkliste,
Next recurring task {0} created for {1},Nächste wiederkehrende Aufgabe {0} erstellt für {1},
Notes,Notizen,
On call,Bereitschaftsdienst,
Onboarding Tour Completed,Einführungstour abgeschlossen,
One-off,Einmalig,
Orga is not installed,Orga ist nicht installiert,
Orga Project,Orga-Projekt,
Owner,Eigentümer,
Owner and Adult,Eigentümer und Erwachsener,
Owner only,Nur Eigentümer,
Phone,Telefon,
Photo,Foto,
Postal Code,Postleitzahl,
Property,Immobilie,
Property Details,Immobiliendetails,
Property Name,Immobilienname,
Property Type,Immobilientyp,
Provider,Anbieter,
Purchase Date,Kaufdatum,
Purchase Price,Kaufpreis,
Rating,Bewertung,
Receipt,Beleg,
Receipt Photo,Belegfoto,
Recalls,Rückrufe,
Recurrence,Wiederholung,
Recurring,Wiederkehrend,
Refund Amount Received,Erhaltener Erstattungsbetrag,
Refund Expected,Erwartete Erstattung,
Refund Overdue (Days),Erstattung überfällig (Tage),
Refund Received Date,Datum der Erstattung,
Refund Status,Erstattungsstatus,
Repair Fund Rate,Reparaturrücklage-Satz,
Retailer,Händler,
Return Date,Rückgabedatum,
Return Notes,Rückgabenotizen,
Return Reason,Rückgabegrund,
Role,Rolle,
Room,Raum,
Room Name,Raumname,
Room Type,Raumtyp,
Schedule & Cost,Zeitplan & Kosten,
Scheduled,Geplant,
Scheduled Date,Geplantes Datum,
Serial Number,Seriennummer,
Sort Order,Sortierreihenfolge,
Snapshot Date,Snapshot-Datum,
Start Date,Startdatum,
Start Date must be before End Date,Startdatum muss vor dem Enddatum liegen,
Status,Status,
System Template,Systemvorlage,
Tasks,Aufgaben,
Template Name,Vorlagenname,
Tender is not installed,Tender ist nicht installiert,
Tender Post,Tender-Beitrag,
Title,Titel,
Token is required,Token ist erforderlich,
Invalid or expired token,Ungültiger oder abgelaufener Token,
Total Mortgage Balance,Gesamte Hypothekenschuld,
Trade,Gewerk,
User,Benutzer,
Value,Wert,
Warranty Alert (Days) — First,Garantiewarnung (Tage) — Erste,
Warranty Alert (Days) — Second,Garantiewarnung (Tage) — Zweite,
Warranty Document,Garantiedokument,
Warranty expiring soon,Garantie läuft bald ab,
Warranty Expiring,Garantie läuft ab,
Warranty for {0} expires on {1} ({2} days left),Garantie für {0} läuft am {1} ab ({2} Tage verbleibend),
Warranty Type,Garantietyp,
Website,Webseite,
You do not have access to this household,Sie haben keinen Zugriff auf diesen Haushalt,
You need at least {0} role for this action,Sie benötigen mindestens die Rolle {0} für diese Aktion,
{0} is scheduled for {1} ({2} days from now),{0} ist für {1} geplant ({2} Tage ab jetzt),
